id,GDLcode,region,GNI2013,GNI2014,GNI2015,GNI2016,GNI2017,GNI2018,GNI2019,GNIpc2013,GNIpc2014,GNIpc2015,GNIpc2016,GNIpc2017,GNIpc2018,GNIpc2019,HDI2013,HDI2014,HDI2015,HDI2016,HDI2017,HDI2018,HDI2019,NTL2013,NTL2014,NTL2015,NTL2016,NTL2017,NTL2018,NTL2019,POP2013,POP2014,POP2015,POP2016,POP2017,POP2018,POP2019,lnGNI2013,lnGNI2014,lnGNI2015,lnGNI2016,lnGNI2017,lnGNI2018,lnGNI2019,lnGNIpc2013,lnGNIpc2014,lnGNIpc2015,lnGNIpc2016,lnGNIpc2017,lnGNIpc2018,lnGNIpc2019,lnNTL2013,lnNTL2014,lnNTL2015,lnNTL2016,lnNTL2017,lnNTL2018,lnNTL2019,lnNTLpc2013,lnNTLpc2014,lnNTLpc2015,lnNTLpc2016,lnNTLpc2017,lnNTLpc2018,lnNTLpc2019
1,KHMr101,Banteay Mean Chey,2296047.3,2540353,2693945,2883682.3,3079547,3292681.8,3667511.5,3574.3821,3874.0601,4042.929,4260.4639,4480.749,4719.9868,5181.8062,.55699998,.57099998,.57599998,.58099997,.58600003,.58999997,.60100001,1975,12207,19113,21903,39862,32660,37052,642.362,655.73401,666.33502,676.84698,687.284,697.604,707.76703,14.6467,14.747813,14.806518,14.874578,14.940293,15.007213,15.115024,20.137075,20.196983,20.223614,20.260368,20.295479,20.33259,20.411474,7.5883288,9.4097652,9.8581247,9.994379,10.593179,10.393907,10.520078,19.543858,21.34469,21.777012,21.897615,22.481112,22.266935,22.378643
2,KHMr102,Kampong Cham (incl Tboung Khmum),5008380,5487448.5,5809035,6204798,6612537,7055097.5,7828162.5,2624.585,2759.259,2874.4919,3022.645,3172.354,3334.6021,3646.8611,.53500003,.54100001,.546,.551,.55599999,.56,.56999999,3367,14960,18105,23369,27611,42945,42308,1908.256,1988.74,2020.891,2052.771,2084.426,2115.7241,2146.5481,15.426623,15.517974,15.574925,15.640834,15.704478,15.769261,15.873239,18.739414,18.748142,18.773018,18.807623,18.840662,18.875637,18.950687,8.1217804,9.6131363,9.8039436,10.059166,10.22597,10.667676,10.652732,18.988516,20.43856,20.613331,20.852901,21.004402,21.431204,21.401796
3,KHMr103,Kampong Chhnang,1335349.8,1386946.4,1467679.6,1566954.8,1669188.8,1780093.9,1973540,2433.417,2567.188,2673.4031,2809.905,2947.7791,3097.135,3384.397,.53500003,.54799998,.55199999,.55800003,.56300002,.56699997,.57700002,786,8173,8264,11790,15024,21858,24439,548.755,540.25897,548.99298,557.65399,566.25299,574.755,583.12903,14.104704,14.142615,14.199193,14.264645,14.327848,14.392177,14.495339,19.91008,19.979198,20.003702,20.037848,20.070448,20.104969,20.179203,6.6669693,9.0085926,9.0196648,9.3750076,9.6174049,9.9923229,10.103936,18.779999,21.137224,21.132259,21.471951,21.699045,22.059059,22.156208
4,KHMr104,Kampong Spueu,2404066.8,2611533.8,2764246,2952131.5,3145676.5,3355716,3722433.3,2580.7029,2695.4651,2807.6951,2951.9661,3097.7329,3255.6851,3559.613,.55199999,.55699998,.56199998,.56699997,.57300001,.57599998,.58700001,3265,18744,23653,27329,26897,39726,39623,931.55499,968.862,984.52502,1000.056,1015.477,1030.725,1045.741,14.692673,14.775448,14.832278,14.898038,14.961539,15.026175,15.129889,19.439642,19.443884,19.468641,19.503096,19.535994,19.570822,19.645607,8.0910177,9.8386297,10.071245,10.215704,10.19977,10.589762,10.587165,19.674843,21.383188,21.599768,21.728573,21.697338,22.072424,22.055365
5,KHMr105,Kampong Thum,1855312.9,1937617.5,2050373.8,2189019.8,2331801,2486685.5,2756823.8,2457.469,2559.5869,2665.447,2801.49,2938.8979,3087.7461,3374.0239,.52499998,.53100002,.53600001,.54100001,.546,.55000001,.56,3072,14419,20944,26838,20823,35832,31753,754.96899,757.00403,769.242,781.37701,793.427,805.34003,817.073,14.433564,14.47697,14.533533,14.598965,14.662151,14.726461,14.82959,19.600891,19.638914,19.663403,19.697529,19.730108,19.764612,19.838814,8.0300875,9.5763025,9.9496078,10.197575,9.9438143,10.486597,10.365743,19.824091,21.367615,21.724884,21.957197,21.688133,22.216013,22.080694
6,KHMr106,Kandal,4462910.5,4469148.5,4738741,5071689.5,5415339.5,5789217,6446427.5,3616.8789,3778.2629,3942.446,4153.915,4368.0229,4600.5171,5049.2178,.56999999,.57499999,.57999998,.58499998,.58999997,.59399998,.60500002,30067,33567,39864,39845,50369,56079,66575,1233.912,1182.858,1201.98,1220.942,1239.769,1258.384,1276.718,15.311312,15.312709,15.371282,15.439184,15.504746,15.571507,15.679037,19.496103,19.582012,19.608511,19.645109,19.680067,19.717022,19.795622,10.311184,10.421299,10.593229,10.592752,10.827131,10.934517,11.106085,21.61392,21.766291,21.922184,21.906055,22.125132,22.217613,22.374718
7,KHMr107,Kaoh Kong,358715.38,334702.22,354976.53,380025.53,405889.53,434039.03,483559.38,3766.99,3955.3091,4128.1621,4350.856,4576.394,4821.3701,5294.3491,.57700002,.59200001,.59600002,.602,.60699999,.611,.62199998,1911,16794,17641,17682,19966,26079,26068,95.225998,84.621002,85.988998,87.345001,88.692001,90.024002,91.334999,12.790284,12.720997,12.779807,12.847994,12.913836,12.980889,13.088929,22.098459,22.265312,22.292049,22.328943,22.364178,22.401419,22.480541,7.555387,9.7287779,9.7779818,9.780303,9.9017868,10.168886,10.168464,21.419815,23.711275,23.744444,23.731117,23.837297,24.089491,24.074612
8,KHMr108,Phnom Penh,11844221,11503455,12244931,13168054,14125095,15172113,17038920,8417.499,8026.374,8407.8086,8901.2373,9403.1709,9950.7598,11014.653,.70200002,.69599998,.70200002,.708,.71399999,.71799999,.73100001,17502,15424,16207,17437,19250,20458,23863,1407.095,1433.207,1456.376,1479.351,1502.163,1524.719,1546.932,16.28735,16.258158,16.320623,16.393305,16.463463,16.534969,16.651011,20.209467,20.143499,20.173891,20.215267,20.254822,20.29652,20.383633,9.770071,9.6436806,9.6931992,9.7663498,9.8652668,9.9261293,10.080085,20.941469,20.796692,20.830173,20.887672,20.971287,21.017244,21.156736
9,KHMr109,Prey Veaeng,2975696.8,3161575.8,3348580,3578971.8,3816473,4074453.5,4525997,2817.9319,3047.916,3176.8369,3342.6809,3510.3721,3692.22,4042.509,.537,.54400003,.54799998,.55400002,.55900002,.56300002,.57300001,756,4166,6963,7169,15517,21674,20896,1055.986,1037.291,1054.061,1070.689,1087.199,1103.524,1119.601,14.905989,14.966581,15.024047,15.090586,15.154838,15.220247,15.325349,19.402208,19.498526,19.523916,19.559151,19.592798,19.628401,19.704575,6.6280546,8.3347139,8.8483667,8.8775225,9.6496925,9.9838696,9.9473133,18.086506,19.811028,20.308641,20.322145,21.079014,21.398287,21.347267
10,KHMr110,Pousat,1264242.9,1372380,1451547.1,1548787.9,1648872.1,1757366,1946233.9,2290.179,2332.4961,2427.7991,2550.209,2673.7759,2807.554,3064.636,.53299999,.53600001,.54000002,.54500002,.55000001,.55400002,.56400001,583,18294,15937,33308,24179,33281,43614,552.02802,588.37402,597.88599,607.31799,616.68298,625.94202,635.06201,14.049984,14.132057,14.188141,14.252983,14.315602,14.379327,14.481407,19.843468,19.798012,19.822021,19.855558,19.887573,19.921492,19.994642,6.3682041,9.8143291,9.6763992,10.413553,10.09324,10.412743,10.683134,18.475286,21.857647,21.70368,22.425182,22.089565,22.394165,22.650091
11,KHMr111,Svay Rieng,1540179.9,1669956.3,1768379.9,1889587.4,2014508.8,2150157.5,2387406.8,2738.9399,2932.665,3056.1021,3214.8579,3375.342,3549.333,3884.375,.54900002,.56099999,.56599998,.57099998,.57700002,.58099997,.59100002,2801,6787,8320,8342,15751,19308,19232,562.32703,569.43298,578.63898,587.76703,596.83099,605.79199,614.61798,14.24741,14.328308,14.385574,14.451869,14.515886,14.581052,14.685719,20.003923,20.059706,20.084898,20.119888,20.153299,20.18866,20.264397,7.9377356,8.8227654,9.0264187,9.0290594,9.6646595,9.8682756,9.8643312,20.026333,20.898806,21.08642,21.07341,21.693707,21.88242,21.864012
12,KHMr112,Takaev,2757141.5,3002835.5,3181097,3400818.8,3627375.5,3873532.8,4304737,2890.3491,3170.8291,3305.623,3479.063,3654.4771,3844.7471,4211.3872,.57599998,.59299999,.59799999,.60399997,.60900003,.61299998,.62400001,1653,5342,6915,6741,16258,21513,21274,953.91302,947.01898,962.32898,977.51001,992.58398,1007.487,1022.166,14.829705,14.915068,14.972736,15.039527,15.10402,15.169678,15.275227,19.529242,19.62911,19.654705,19.690191,19.724077,19.75993,19.83655,7.4103532,8.5833569,8.8414497,8.8159647,9.6963406,9.9764128,9.9652414,18.970461,20.150719,20.392775,20.351637,21.216709,21.48188,21.456244
13,KHMr113,Bat Dambang-Krong Pailin,4111048.5,4527638,4800965.5,5138550.5,5487012.5,5866143.5,6532692,3558.4651,3809.511,3975.2209,4188.666,4404.7871,4639.479,5092.4541,.58099997,.59100002,.59500003,.60100001,.60600001,.61000001,.62099999,2931,12310,23002,27169,38945,44317,55644,1155.287,1188.509,1207.723,1226.775,1245.693,1264.397,1282.818,15.229189,15.325711,15.384328,15.452282,15.517895,15.584708,15.692329,19.545662,19.585482,19.612024,19.648674,19.683681,19.720688,19.799381,7.9831023,9.4181681,10.043337,10.209832,10.569906,10.699123,10.92673,19.351679,20.758394,21.367525,21.51837,21.86314,21.977453,22.190596
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2439698,2590907,2742991,2930192.5,3123078.3,3332462.3,3698349.3,2676.061,2807.8621,2925.3889,3076.5049,3229.2261,3394.7561,3713.3811,.56099999,.56900001,.574,.579,.58499998,.58899999,.59899998,5231,17999,22102,25329,31365,37243,47704,911.67499,922.73297,937.65002,952.44202,967.12903,981.65002,995.95203,14.707385,14.767519,14.824559,14.890578,14.954329,15.019222,15.123397,19.497498,19.53352,19.558487,19.593201,19.626347,19.661432,19.736679,8.5623598,9.7980719,10.003424,10.139706,10.353448,10.52522,10.772771,20.167757,21.391413,21.580729,21.701357,21.899797,22.056665,22.289753
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,1677856.3,1813974.4,1917927,2045508.6,2176769.3,2318984,2566190,2113.563,2175.8589,2263.949,2377.05,2491.1699,2614.666,2851.845,.49200001,.495,.49900001,.50400001,.509,.51300001,.52200001,26362,85393,97247,145630,156449,220967,190571,793.85199,833.68201,847.15997,860.52399,873.79401,886.914,899.83502,14.333028,14.411031,14.466756,14.531157,14.593352,14.65664,14.757933,19.399914,19.380007,19.403658,19.436754,19.468344,19.501823,19.57419,10.179679,11.35502,11.485009,11.888824,11.960485,12.305769,12.15778,21.923464,23.049849,23.163801,23.551964,23.608322,23.938702,23.776249
16,KHMr116,Mondol Kiri-Rotanak Kiri,750968.56,887343.94,939295.38,1003223.1,1069080.9,1140558.5,1265391.6,2515.4199,2731.2219,2845.134,2991.5791,3139.554,3299.9121,3608.5071,.48699999,.49700001,.50099999,.50599998,.50999999,.514,.523,17824,90439,105881,100846,125441,171623,143269,298.54599,324.88901,330.14099,335.349,340.51999,345.633,350.66901,13.529119,13.695988,13.752885,13.818728,13.88231,13.947028,14.050892,20.551952,20.549702,20.574526,20.609066,20.642042,20.676954,20.751888,9.7883015,11.412431,11.570071,11.52135,11.739591,12.053056,11.872479,22.510059,24.049627,24.191233,24.12686,24.329798,24.628359,24.433317
17,KHMr117,Siem Reab-Otdar Mean Chey,3214405.8,3446941.5,3648916.8,3897472.3,4153544.5,4431484,4916977.5,2633.4939,2754.717,2869.7371,3017.6121,3167.04,3328.9819,3640.647,.52399999,.52700001,.53100002,.53600001,.54100001,.54500002,.55500001,6250,39680,39200,68247,81308,84964,74854,1220.5861,1251.287,1271.516,1291.575,1311.491,1331.183,1350.578,14.983153,15.052998,15.109941,15.175838,15.239472,15.304245,15.408205,19.189661,19.209824,19.234692,19.269283,19.302313,19.337278,19.41231,8.7403383,10.588603,10.576432,11.130889,11.306,11.349983,11.223295,20.053932,21.877356,21.849148,22.387953,22.54776,22.576841,22.435688
